State,Number,Percent(Motor Vehicle),Number(Motor Vehicle),Percent(Nonmotorist),Number(Nonmotorist),Percent(Fixed Object),Number(Fixed Object),Percent(Object Not Fixed),Number(Object Not Fixed),Percent(Overturn),Number(Overturn),Percent(Other),Number(Other),Percent(Unknown),Number(Unknown),Total Fatal Crashes(Percent)
Arizona,372.0,38.5,245.0,25.3,174.0,18.0,24.0,2.5,79.0,8.2,23.0,2.4,50.0,5.2,967.0,100.0
California,1148.0,32.3,1073.0,30.2,970.0,27.3,100.0,2.8,246.0,6.9,19.0,0.5,2.0,0.1,3558.0,100.0
Florida,1257.0,40.6,843.0,27.2,731.0,23.6,58.0,1.9,174.0,5.6,35.0,1.1,0.0,0.0,3098.0,100.0
Georgia,624.0,41.0,288.0,18.9,472.0,31.0,33.0,2.2,92.0,6.0,13.0,0.9,0.0,0.0,1522.0,100.0
Illinois,433.0,39.8,191.0,17.6,333.0,30.6,47.0,4.3,75.0,6.9,7.0,0.6,1.0,0.1,1087.0,100.0
Michigan,424.0,41.9,195.0,19.3,277.0,27.4,28.0,2.8,81.0,8.0,6.0,0.6,0.0,0.0,1011.0,100.0
New York,348.0,36.1,277.0,28.8,286.0,29.7,24.0,2.5,20.0,2.1,8.0,0.8,0.0,0.0,963.0,100.0
North Carolina,564.0,39.9,237.0,16.8,505.0,35.8,26.0,1.8,76.0,5.4,4.0,0.3,0.0,0.0,1412.0,100.0
Ohio,446.0,38.6,162.0,14.0,425.0,36.8,47.0,4.1,64.0,5.5,8.0,0.7,2.0,0.2,1154.0,100.0
Pennsylvania,403.0,38.0,155.0,14.6,381.0,35.9,45.0,4.2,58.0,5.5,17.0,1.6,1.0,0.1,1060.0,100.0
South Carolina,364.0,37.8,184.0,19.1,336.0,34.9,19.0,2.0,54.0,5.6,5.0,0.5,0.0,0.0,962.0,100.0
Tennessee,461.0,41.2,172.0,15.4,380.0,34.0,29.0,2.6,64.0,5.7,13.0,1.2,0.0,0.0,1119.0,100.0
Texas,1383.0,39.3,719.0,20.4,962.0,27.3,94.0,2.7,306.0,8.7,49.0,1.4,7.0,0.2,3520.0,100.0
