State,< 5,5 -- 9,10 -- 15,16 -- 20,21 -- 24,25 -- 34,35 -- 44,45 -- 54,55 -- 64,65 -- 74,> 75,Unknown,Total
Arizona,11.0,12.0,24.0,84.0,79.0,190.0,166.0,106.0,192.0,99.0,81.0,10.0,1054.0
California,23.0,23.0,73.0,292.0,351.0,876.0,597.0,500.0,570.0,317.0,219.0,6.0,3847.0
Florida,23.0,21.0,61.0,243.0,270.0,615.0,493.0,438.0,505.0,309.0,316.0,37.0,3331.0
Georgia,21.0,12.0,29.0,136.0,113.0,334.0,250.0,221.0,249.0,143.0,130.0,26.0,1664.0
Illinois,11.0,10.0,22.0,106.0,103.0,241.0,158.0,159.0,152.0,113.0,103.0,16.0,1194.0
Michigan,11.0,10.0,10.0,76.0,99.0,214.0,139.0,146.0,151.0,110.0,118.0,0.0,1084.0
New York,4.0,10.0,18.0,76.0,106.0,217.0,145.0,110.0,141.0,107.0,107.0,5.0,1046.0
North Carolina,6.0,16.0,18.0,144.0,156.0,302.0,238.0,196.0,224.0,118.0,116.0,4.0,1538.0
Ohio,11.0,10.0,21.0,82.0,94.0,244.0,197.0,171.0,180.0,119.0,100.0,1.0,1230.0
Pennsylvania,11.0,7.0,14.0,80.0,91.0,204.0,164.0,154.0,182.0,93.0,129.0,0.0,1129.0
South Carolina,9.0,6.0,11.0,79.0,85.0,239.0,161.0,168.0,140.0,91.0,75.0,0.0,1064.0
Tennessee,12.0,6.0,10.0,108.0,103.0,232.0,201.0,186.0,167.0,98.0,94.0,0.0,1217.0
Texas,47.0,51.0,73.0,341.0,354.0,841.0,610.0,524.0,486.0,335.0,199.0,13.0,3874.0
